Designator,Mid X,Mid Y,Rotation,Layer
J1,125.055,-104.855,180.0,bottom
J2,108.7,-122.175,270.0,bottom
J3,76.05,-144.1125,0.0,top
J5,111.03,-82.099999,180.0,top
MOUSE-BITE-3MM-SLOT_3,95.794,-97.675,180.0,top
MOUSE-BITE-3MM-SLOT_2,119.8,-108.269999,90.0,top
MOUSE-BITE-3MM-SLOT,119.8,-91.269,90.0,top
SW1,105.299999,-106.424999,270.0,bottom
SW2,83.799999,-106.424998,270.0,bottom
SW3,62.549997,-106.424999,270.0,bottom
SW4,123.2,-132.2,90.0,top
U1,102.692501,-140.069,180.0,top
U2,93.387501,-117.175,0.0,top
